customer_id,base_propensity_score,purchased_same_period_1yr_ago,purchased_same_period_2yr_ago,purchased_month_minus_1,purchased_month_minus_2,purchased_month_minus_3,birthday_occasion_flag,anniversary_occasion_flag,total_orders_lifetime,lifetime_value,days_since_last_order,purchased_in_campaign
63378704-0f7d-43af-b40a-ab41244572ae,3.7653,0,0,1,0,1,0,0,4,199.59,564,0
387903e4-84b3-4b74-8ac5-902f872196dc,5.1036,1,0,1,0,0,0,0,3,358.97,540,0
792ca149-1fa4-4695-a6b8-f55ed788663e,3.307,0,1,1,0,0,1,0,2,206.74,198,0
72c1e005-8399-4af6-ad27-8bc2101a1931,2.9611,1,0,0,0,0,0,1,4,339.77,349,0
2342ab80-03fd-4071-a521-806f426a53ad,5.5427,0,1,1,0,0,0,0,4,360.36,270,0
01aac97d-e822-44b1-a787-0b5778effb1d,3.1561,0,0,0,0,0,0,0,4,230.28,392,0
323dfc6a-ee34-4136-857a-952c100eca00,4.2228,0,0,0,1,0,0,0,4,389.7,5,0
ad62ed58-5d0d-4d37-8275-ae978221fcf1,3.9411,1,0,0,0,0,0,0,4,436.91,31,0
b9490d9a-8731-45f1-9361-b27c775da309,5.5393,0,0,0,1,0,0,0,5,203.3,416,0
ae85c0d3-2f9d-4b58-b241-dd1518e380e6,2.5906,1,0,0,0,0,0,0,5,258.47,453,0
4c4eded3-ed04-4113-aeba-07c7a2a449d7,6.8321,1,1,0,1,0,0,0,3,355.03,215,0
593973b2-2227-463a-bbc2-a211be5173bb,2.1107,0,0,0,0,0,0,0,2,234.18,20,0
06dd65bc-394a-43a7-be7e-6ec8d89dbed9,4.4148,0,0,0,0,0,0,0,3,300.53,20,0
b3a1ab06-8973-49c2-9922-61299bf07ff4,4.0649,1,0,0,0,0,0,0,5,219.37,544,0
07d7ed16-e738-4dae-91c0-4d304301cdf4,1.9602,1,0,0,0,0,0,0,1,101.82,615,1
39acbfc2-9793-482a-9d04-8916db6958fd,4.6711,1,1,0,0,0,0,0,2,100.96,475,0
9eedaca7-acef-488f-9abb-32698e27335a,2.7429,0,1,1,0,0,0,0,2,190.19,31,0
bbf1d2ff-0528-4c8e-8de4-6e962a32f3b4,1.463,0,1,0,0,0,0,0,5,221.68,238,0
3271d101-5413-43d9-b982-900d07f1b36e,5.0798,1,0,0,0,0,0,0,4,201.6,533,0
322fe3e0-fcb5-4301-98bb-7f0c49e443f3,1.0184,1,0,1,0,0,0,0,2,208.62,553,0
f9b9fc0f-a682-45a9-800d-558f40681cb3,1.704,0,0,1,0,0,0,0,1,83.49,340,0
0ba6fcbb-84b0-4907-ba0e-e1d96a52386c,3.2794,1,0,0,0,0,0,0,3,173.09,628,0
61936d59-5924-4e7b-8296-2a6ee309fd4f,5.5148,1,0,0,0,0,0,0,1,71.06,259,0
b6b11fb4-426d-4a73-af56-fff01a9406d0,4.8704,0,0,0,0,1,0,0,4,346.71,57,0
99980623-6af4-4c2b-a1a6-ecb62be1ea5f,3.7233,0,0,0,0,0,1,0,3,149.78,598,0
7ac941a3-7d34-43fc-a17b-44603971ad30,0.7281,0,1,0,0,0,1,1,3,167.33,590,0
ec3aa4e1-a55d-48c6-872f-f3cb4aabe3ad,2.0343,1,1,1,0,0,0,0,2,188.25,498,0
8720cb49-066e-4757-a9f8-6f5c4f52444d,2.405,1,0,0,0,0,1,0,3,326.86,669,1
5832ffa4-7385-4d42-ac9e-de2ce3184d31,1.4043,0,1,0,0,0,0,0,3,212.79,12,0
463ac0dc-ca94-4a85-9a11-b8827fee37a3,0.5425,0,0,0,1,0,0,0,2,220.8,526,0
68e64e18-8b9c-412b-8fdf-b572fd13dd84,3.3943,1,0,1,0,0,0,0,2,133.06,560,0
bbfad925-ec4d-48ce-a940-5f7361f7cbaf,4.9748,0,1,0,0,0,0,0,4,443.46,294,0
2d38b923-0bab-4fae-815e-0d6e6817205e,2.2604,1,1,0,0,0,0,0,2,138.53,281,0
58fa5ab0-0728-4175-831c-c034c0f557cb,5.468,0,1,0,0,0,1,0,4,301.01,148,0
8665c690-1d35-41b9-a935-0608b3842903,0.9048,0,0,0,0,0,0,0,1,49.35,310,0
01d03aa8-f69a-4e37-84fd-81e0c9484be2,1.3305,0,0,0,0,0,0,0,5,409.63,432,0
dcdc67ec-e04a-41a4-ad5d-87746d3c620c,3.3433,0,0,0,1,0,0,0,3,350.07,496,1
ef457813-6956-4647-bb83-7597644130ee,2.1127,0,0,0,0,0,0,0,1,65.55,85,0
c79a8fd1-276f-4c83-bc09-a0160d825b4a,4.7012,1,0,0,1,0,0,0,2,190.19,44,0
d9f06b99-4bcf-41b7-ac91-90f1b53bd818,4.1916,1,0,0,0,0,0,0,2,228.53,663,0
8416a6c5-a71a-4667-adf2-5beaa85691ec,2.233,0,0,0,0,0,0,0,4,376.69,339,0
680131d6-e242-40fc-acb7-6ee563e8aec6,0.9908,0,1,0,0,0,1,0,1,83.0,198,0
bc64a453-83de-40a6-938c-204084fb61eb,2.0361,1,1,0,0,0,0,1,3,356.17,508,0
7b00b06e-6a31-42e7-a6d3-562dc7cace40,4.2616,0,0,1,0,0,0,1,4,219.74,190,0
cb692686-19f5-484e-8440-94087bb8c8cd,4.8271,0,0,0,0,0,0,0,1,42.3,603,0
4544bce8-e71b-4a14-8b3d-c36fe9b037b7,2.1199,0,0,0,0,1,0,0,1,84.94,194,0
0c84bd1b-b847-431b-894c-64d2aa703181,0.5392,0,0,0,0,0,0,0,2,124.57,197,0
058557c1-eead-41ab-939a-2f94692b9c2d,0.8565,0,0,0,0,0,0,0,2,181.15,223,0
143d2ea7-8781-4a60-a8f9-c2316bd9f8a2,4.0282,0,1,0,0,0,0,0,6,251.12,587,0
89f0ec56-d081-45ed-b15e-3bd0863b917d,2.2042,0,0,0,0,0,0,0,7,423.07,579,0
8e58d4ea-d9d0-45f0-bd36-8554ff8f22ed,2.2459,1,0,1,1,0,0,0,4,387.75,483,0
ac390876-6c14-4ef2-a210-c2108757ffd7,1.3114,1,0,0,0,0,0,0,5,571.1,209,0
fecfbd6e-c127-46c7-a68b-69087440f4e1,1.2896,1,0,1,1,0,0,0,3,203.09,512,0
a7fd25ca-3a5a-4dd2-80fa-7e9957b84afc,5.407,0,0,0,0,0,0,0,8,428.92,703,0
b855cbcf-7311-471d-8686-00946a2f028d,4.127,0,0,0,0,0,0,0,5,418.14,169,0
6a65a683-6c10-4107-b9be-3d6615829344,1.8203,0,0,1,0,0,0,0,3,181.86,585,0
2ec86830-833a-41a3-bc63-3037ad76cd36,3.1708,1,1,0,1,0,0,0,3,292.17,507,0
19ab3fd9-23f8-41b3-830c-244de3bf7e1d,3.5738,0,0,0,0,0,0,0,2,92.62,176,0
4e0c9ee8-2b37-4227-98e6-c45119ffa225,8.4738,0,0,1,1,0,0,0,4,229.66,201,0
00cb8622-cfa8-4392-8b04-b6ea6a7c1cfe,1.1948,0,0,0,0,0,0,0,7,611.49,504,0
629c85da-4b66-4954-872f-30531db6f55d,3.5408,0,0,0,0,1,0,0,1,53.57,96,0
2409c100-fa41-4812-b49a-328bd2cefbac,5.3891,0,1,1,0,0,0,0,6,362.67,724,0
84f6faf8-4167-45fb-a5d4-372d2f6ef511,7.847,0,0,0,0,0,0,0,5,470.23,97,0
aaa19874-43cb-4b08-8363-54f3aabae6a6,1.7454,0,1,1,0,0,0,0,5,391.16,399,0
c170546f-149f-4c1b-ac15-8bb6417f112b,2.1823,0,0,0,0,0,0,0,4,263.15,307,0
abdec8e8-f320-4fe7-b1f1-f532344032fd,4.7312,0,0,0,0,0,0,0,3,137.69,595,0
458a327f-8158-4233-9dd7-5c4e2fa2fef9,0.7158,0,0,0,0,0,0,0,3,292.3,474,0
888c5804-d395-41e7-9f10-a82d7aa11d87,3.7891,1,0,0,0,0,0,0,4,401.86,180,0
e778ccc4-7c89-4f56-a287-c97a2be8946a,10.0,1,0,1,0,0,0,0,2,93.12,680,0
5279ae69-312d-4cdc-9e05-782ea9d06ea7,4.0697,1,0,0,0,0,0,0,5,242.83,598,0
3b5a4268-8ceb-486e-9840-37c0c2faae86,0.2725,0,0,0,0,0,0,0,5,353.93,257,0
837fc458-ef3d-4aa5-b9a5-250abbd4b6dc,1.4797,0,0,0,0,0,0,1,1,62.35,594,0
59933274-4be8-4fb9-ac0d-b0ed22446d3d,1.7906,1,0,0,0,0,0,0,4,457.11,617,0
9c599ebd-9750-4dd0-a53b-3da888ebb51b,6.2215,1,1,0,0,0,1,0,5,528.6,408,0
640b9286-91ae-4a6a-9287-0fde0a6a6ccf,2.6463,0,0,0,1,0,0,0,1,74.04,187,0
04d96ede-d0b7-4836-b030-0832ddb82262,0.5486,0,1,0,1,0,0,1,3,302.34,140,0
ee4f0c51-6c93-4b56-a0be-7a9c33c67336,2.8767,1,0,0,0,0,0,1,1,64.47,118,0
f6c9e051-e774-454b-be73-ae2ee18dc989,3.313,0,1,1,0,0,0,0,1,115.06,247,0
25b8f611-4d7b-4719-8086-ddf83145fd4a,1.9829,0,0,0,0,0,0,0,2,116.78,293,0
711f444e-4aa6-4d61-ae78-b34574eb7e24,1.2697,1,0,0,0,1,0,0,2,214.48,693,0
f86990b9-d1b9-46c5-bfd3-34fcb79d4737,10.0,1,1,0,0,1,0,0,3,224.22,503,0
f98023c9-582d-4b56-b78c-8327b6c7963f,5.4008,0,0,0,1,0,0,0,1,65.24,398,0
f864bca1-852e-46fb-bc9c-e5ae526e204e,5.7272,1,1,0,1,0,0,0,4,398.71,212,0
ac91ceed-b44c-4deb-b957-720d61992b11,2.6505,0,1,0,1,0,0,0,2,84.09,531,0
dc8313fb-be12-4d05-a142-b7a82654ca68,1.7212,1,0,0,0,0,0,0,2,225.84,247,0
23368002-75be-4688-bdc1-14b66ada46b7,2.0621,0,0,0,0,0,0,0,5,399.43,19,0
507c93f0-cf71-483f-92b3-e76b01c57b76,0.9024,1,0,0,0,0,0,0,6,526.89,726,0
4e31bbf1-f572-45c8-b9ba-27433e6b58c7,8.3689,0,0,1,0,0,0,0,5,327.61,519,0
d994efc3-c758-4d72-aeb6-574f7b168697,2.7327,0,0,0,0,0,0,0,5,537.74,282,0
